DAY,LOW,HIGH
1,68,86
2,63,83
3,65,85
4,66,86
5,68,79
6,-,-
7,-,-
8,-,-
9,-,-
10,-,-
11,-,-
12,-,-
13,-,-
14,-,-
15,-,-
16,-,-
17,-,-
18,-,-
19,-,-
20,-,-
21,-,-
22,-,-
23,-,-
24,-,-
25,-,-
26,-,-
27,-,-
28,-,-
29,-,-
30,-,-
31,-,-
