DAY,LOW,HIGH
1,77,90
2,78,93
3,79,92
4,78,83
5,75,86
6,76,89
7,78,92
8,78,94
9,78,95
10,81,92
11,80,94
12,74,90
13,75,87
14,76,90
15,78,93
16,78,91
17,78,89
18,77,86
19,76,89
20,77,84
21,76,88
22,75,89
23,76,89
24,78,89
25,77,91
26,73,88
27,78,91
28,79,91
29,80,93
30,78,91
